assetId,semanticRole,confidence,evidence
carpet,rug,high,"direct vision: flat rectangular rug; living-room floor appropriate"
carpet_001,rug,high,"direct vision: patterned rug; living-room floor appropriate"
carpet_002,rug,high,"direct vision: textured oval/round rug"
carpet_003,rug,high,"direct vision: textured rug"
carpet_004,rug,high,"direct vision: oval rug with patterning"
chair,armchair,high,"direct vision: lounge chair with cushions, low back, living-room armchair"
chair_001,armchair,high,"direct vision: lounge armchair / accent chair, suitable for living-room"
coffee_table,coffeeTable,high,"direct vision: round dark wooden coffee table; low profile, living-room"
coffee_table_024,coffeeTable,high,"direct vision: dark wooden tray-style low coffee table"
coffee_table_025,coffeeTable,high,"direct vision: white round pedestal table on wheels; low living-room side/coffee table"
coffee_table_026,coffeeTable,high,"direct vision: light wood square coffee table with lower shelf; living-room"
coffee_table_027,coffeeTable,high,"direct vision: black wooden rectangular coffee table, low profile"
coffee_table_028,coffeeTable,high,"direct vision: white wooden rectangular coffee table, low profile"
coffee_table_029,coffeeTable,high,"direct vision: white circular coffee table with lower shelf"
coffee_table_030,coffeeTable,high,"direct vision: white wooden coffee table with lower shelf"
coffee_table_031,coffeeTable,high,"direct vision: dark wooden coffee table with lower shelf"
coffee_table_032,coffeeTable,high,"direct vision: white wooden coffee table with lower shelf"
cupboard,console,high,"direct vision: tall black chest of drawers; storage/console role"
cupboard_001,console,high,"direct vision: dark grey chest of drawers with white drawer fronts"
cupboard_002,console,high,"direct vision: light wood + black chest of drawers; living-room storage"
cupboard_003,console,high,"direct vision: tall dark wood wardrobe; storage/console role"
cupboard_004,console,high,"direct vision: tall narrow bookcase with angled shelves; storage/console"
dresser,console,high,"direct vision: small white 2-drawer cabinet; storage/console role"
dresser_001,console,high,"direct vision: low wooden media console with shelves; living-room storage"
dresser_002,console,high,"direct vision: modern dark wood top with white drawer media console"
electronics,tv,high,"direct vision: flat-screen TV on white surface; living-room television"
electronics_032,tv,high,"direct vision: TV; living-room television"
electronics_036,tv,high,"direct vision: TV; living-room television"
electronics_037,tv,high,"direct vision: TV; living-room television"
electronics_040,tv,high,"direct vision: TV with stand; living-room television"
electronics_046,tv,high,"direct vision: monitor/TV-style display; living-room television"
electronics_049,tv,high,"direct vision: TV with stand/legs; living-room television"
flower_038,plant,high,"direct vision: potted succulent in white pot; living-room plant"
flower_039,plant,high,"direct vision: potted plant; living-room plant"
flower_040,plant,high,"direct vision: potted plant; living-room plant"
flower_041,plant,high,"direct vision: potted plant; living-room plant"
lamp,floorLamp,high,"direct vision: floor lamp on metal base; living-room floor lamp"
lamp_027,floorLamp,high,"direct vision: floor lamp; living-room floor lamp"
lamp_028,floorLamp,high,"direct vision: floor lamp with stacked shade; living-room floor lamp"
sofa,sofa,high,"direct vision: orange 2-seat sofa; living-room sofa"
sofa_026,sofa,high,"direct vision: sofa; living-room sofa"
sofa_027,sofa,high,"direct vision: sofa; living-room sofa"
sofa_028,sofa,high,"direct vision: sofa; living-room sofa"
sofa_029,sofa,high,"direct vision: sofa; living-room sofa"
sofa_030,sofa,high,"direct vision: sofa; living-room sofa"
sofa_031,sofa,high,"direct vision: sofa; living-room sofa"
sofa_032,sofa,high,"direct vision: sofa; living-room sofa"
