assetId,firstPassVerdict,visualCategory,categoryCorrect,visualQuality,silhouetteReadable,possibleSemanticRole,possibleDuplicateOf,confidence,shortEvidence
electronics,KEEP,tv,yes,good,yes,tv,,high,"direct vision: flat-screen TV on white surface"
electronics_049,KEEP,tv_stand,yes,good,yes,tv,,high,"direct vision: TV with stand/legs"
electronics_032,KEEP,tv,yes,good,yes,tv,,high,"direct vision: TV (per script)"
electronics_036,KEEP,tv,yes,good,yes,tv,,high,"direct vision: TV (per script)"
electronics_037,KEEP,tv,yes,good,yes,tv,,high,"direct vision: TV (per script)"
electronics_040,KEEP,tv_stand,yes,good,yes,tv,,high,"direct vision: TV with stand (per script)"
electronics_046,KEEP,monitor,yes,good,yes,tv,,high,"direct vision: monitor/TV-style display"
electronics_047,KEEP,tv,yes,good,yes,tv,,high,"direct vision: TV (per script)"
electronics_033,REJECT,toaster,no,acceptable,yes,floorDecor,,high,"direct vision: kitchen appliance; not living-room furniture"
electronics_034,REJECT,water_filter,no,acceptable,yes,floorDecor,,high,"direct vision: water filter; not living-room furniture"
electronics_039,REJECT,toaster,no,acceptable,yes,floorDecor,,high,"direct vision: toaster; not living-room furniture"
electronics_041,REJECT,monitor,no,acceptable,yes,floorDecor,,high,"direct vision: small monitor (not a primary TV); could overlap with electronics TVs"
electronics_042,REJECT,toaster,no,acceptable,yes,floorDecor,,high,"direct vision: kitchen appliance"
electronics_035,REJECT,toaster,no,acceptable,yes,floorDecor,,high,"direct vision: kitchen appliance"
electronics_027,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room; likely appliance"
electronics_028,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
electronics_029,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
electronics_030,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
electronics_031,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
electronics_038,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
electronics_043,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
electronics_044,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
electronics_045,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
electronics_048,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"sourceCategory electronics but visually not living-room"
