assetId,originalRole,excludeReason,confidence,evidence
chair_002,armchair,ambom_footstool,high,"direct vision: square ottoman/footstool; not a lounge armchair"
chair_003,armchair,ambom_footstool,high,"direct vision: rectangular ottoman/footstool; not a lounge armchair"
chair_006,armchair,ambom_footstool,high,"direct vision: round ottoman/pouf; not a lounge armchair"
shelf,console,decorative_wall_shelf,high,"direct vision: single floating wooden wall shelf; not a floor-standing storage piece"
shelf_056,console,round_bar_shelf,high,"direct vision: circular/round bar shelf; not a typical living-room storage piece"
shelf_057,console,storage_cubes_set,high,"direct vision: modular storage cubes/set pieces; not a single living-room storage piece"
electronics_027,tv,desktop_computer,high,"direct vision: desktop computer with keyboard and mouse; not a TV"
electronics_028,tv,printer,high,"direct vision: printer; not a TV"
electronics_029,tv,espresso_machine,high,"direct vision: espresso machine; not a TV"
electronics_030,tv,cooker_or_kitchen_appliance,high,"direct vision: cooker/rice cooker; not a TV"
electronics_031,tv,storage_box,high,"direct vision: black/white storage box; not a TV"
work_table,coffeeTable,desk_with_monitors,high,"direct vision: dual-monitor desk setup with keyboard and mouse; not a living-room side/coffee table"
work_table_001,coffeeTable,office_white_desk,high,"direct vision: white office desk; not a living-room side/coffee table"
work_table_002,coffeeTable,office_desk_with_drawers,high,"direct vision: dark wood office desk with drawers; not a low living-room coffee table"
work_table_003,coffeeTable,office_desk_3_drawer,high,"direct vision: brown wood office desk with 3-drawer pedestal; not living-room"
work_table_004,coffeeTable,office_desk_4_drawer,high,"direct vision: dark wood office desk with 4-drawer pedestal; not living-room"
lamp_029,floorLamp,table_lamp,high,"direct vision: white round-shade lamp with silver base sitting on a table surface; table lamp not floor lamp"
lamp_030,floorLamp,table_lamp,high,"direct vision: white lamp with rounded silver base; table lamp not floor lamp"
