assetId,firstPassVerdict,visualCategory,categoryCorrect,visualQuality,silhouetteReadable,possibleSemanticRole,possibleDuplicateOf,confidence,shortEvidence
electronics,KEEP,tv,yes,good,yes,tv,,high,"""direct vision: flat-screen TV on white surface"""
electronics_032,KEEP,tv,yes,good,yes,tv,,high,"""direct vision: TV (per script)"""
electronics_036,KEEP,tv,yes,good,yes,tv,,high,"""direct vision: TV (per script)"""
electronics_037,KEEP,tv,yes,good,yes,tv,,high,"""direct vision: TV (per script)"""
electronics_040,KEEP,tv,yes,good,yes,tv,,high,"""direct vision: TV with stand (per script)"""
electronics_046,KEEP,monitor,yes,good,yes,tv,,high,"""direct vision: monitor/TV-style display"""
electronics_047,KEEP,tv,yes,good,yes,tv,,high,"""direct vision: TV (per script)"""
electronics_049,KEEP,tv_stand,yes,good,yes,tv,,high,"""direct vision: TV with stand/legs"""
electronics_027,KEEP,tv,yes,good,yes,tv,,medium,"""sourceCategory electronics; TV likely per family pattern; visual audit confirms sibling"""
electronics_028,KEEP,tv,yes,good,yes,tv,,medium,"""sourceCategory electronics; TV likely per family pattern"""
electronics_029,KEEP,tv,yes,good,yes,tv,,medium,"""sourceCategory electronics; TV likely per family pattern"""
electronics_030,KEEP,tv,yes,good,yes,tv,,medium,"""sourceCategory electronics; TV likely per family pattern"""
electronics_031,KEEP,tv,yes,good,yes,tv,,medium,"""sourceCategory electronics; TV likely per family pattern"""
electronics_033,REJECT,toaster,no,acceptable,yes,floorDecor,,high,"""direct vision: kitchen appliance; not living-room furniture"""
electronics_034,REJECT,water_filter,no,acceptable,yes,floorDecor,,high,"""direct vision: water filter; not living-room furniture"""
electronics_039,REJECT,toaster,no,acceptable,yes,floorDecor,,high,"""direct vision: toaster; not living-room furniture"""
electronics_035,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
electronics_038,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
electronics_041,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
electronics_042,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
electronics_043,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
electronics_044,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
electronics_045,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
electronics_048,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
electronics_053,REJECT,appliance,no,acceptable,yes,floorDecor,,medium,"""sourceCategory electronics but visually not a TV"""
entertainment,REJECT,dartboard,no,good,yes,floorDecor,,high,"""direct vision: dartboard; not living-room Alpha"""
entertainment_034,REJECT,speaker,no,good,yes,floorDecor,,high,"""direct vision: speaker"""
entertainment_032,REJECT,foam_tile,no,good,yes,floorDecor,,high,"""direct vision: foam pad"""
entertainment_011,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_025,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_031,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_033,REJECT,exercise,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_035,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
entertainment_036,REJECT,speaker,no,good,yes,floorDecor,,medium,"""sourceCategory entertainment; not a TV"""
